TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL10W,C2100US,United States - Place of Work,34,Percent,5.4,+/-0.1,0.5,+/-0.1,4.1,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,34.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,35,Number,"7,229,235","+/-17,991","601,840","+/-5,163","5,399,260","+/-13,642","751,650","+/-6,074","35,290","+/-1,039","354,695","+/-3,915","7,945",+/-558,"78,555","+/-1,740",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,36,Percent,4.8,+/-0.1,0.4,+/-0.1,3.6,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,36.8,70 years and over,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,36.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,37,Number,"3,279,805","+/-12,930","215,020","+/-3,557","2,658,250","+/-10,135","243,870","+/-3,254","12,550",+/-635,"116,705","+/-2,094","2,615",+/-349,"30,795","+/-1,192",0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,38,Percent,2.2,+/-0.1,0.1,+/-0.1,1.8,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,38.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,39,Number,"1,870,380","+/-9,038","128,270","+/-2,802","1,528,875","+/-7,914","120,910","+/-2,167","6,040",+/-387,"67,680","+/-1,794","1,455",+/-288,"17,150",+/-935,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,40,Percent,1.3,+/-0.1,0.1,+/-0.1,1,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,40.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,41,Number,"1,409,425","+/-8,829","86,750","+/-2,110","1,129,370","+/-6,983","122,960","+/-2,112","6,515",+/-476,"49,025","+/-1,376","1,155",+/-215,"13,650",+/-780,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,42,Percent,0.9,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,+/-0.1,0,"Total, all occupations"
EEOALL10W,C2100US,United States - Place of Work,0.8,16 to 39 years,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,1,Number,"535,400","+/-5,545","67,010","+/-2,463","389,925","+/-4,469","30,805","+/-1,527","2,185",+/-330,"30,950","+/-1,409",620,+/-197,"13,900",+/-923,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,2,Percent,25.4,+/-0.2,3.2,+/-0.1,18.5,+/-0.2,1.5,+/-0.1,0.1,+/-0.1,1.5,+/-0.1,0,+/-0.1,0.7,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,2.9,Male,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,3,Number,"363,975","+/-4,979","44,955","+/-2,058","270,355","+/-3,656","17,745",+/-957,"1,175",+/-254,"20,305","+/-1,023",455,+/-182,"8,990",+/-755,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,4,Percent,17.3,+/-0.2,2.1,+/-0.1,12.8,+/-0.2,0.8,+/-0.1,0.1,+/-0.1,1,+/-0.1,0,+/-0.1,0.4,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,4.9,Female,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,5,Number,"171,425","+/-2,958","22,055","+/-1,256","119,570","+/-2,440","13,060","+/-1,188","1,015",+/-265,"10,645",+/-822,165,+/-92,"4,915",+/-445,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,6,Percent,8.1,+/-0.1,1,+/-0.1,5.7,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.2,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,6.8,40 to 44 years,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,6.9,"Total, both sexes",,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,7,Number,"261,235","+/-3,854","25,590","+/-1,077","196,940","+/-3,041","15,310","+/-1,003",890,+/-187,"17,135","+/-1,107",85,+/-68,"5,285",+/-556,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,8,Percent,12.4,+/-0.2,1.2,+/-0.1,9.3,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.3,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,8.9,Male,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,9,Number,"186,065","+/-3,368","18,200",+/-965,"142,670","+/-2,595","9,570",+/-898,535,+/-138,"11,890",+/-853,20,+/-24,"3,180",+/-359,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,10,Percent,8.8,+/-0.1,0.9,+/-0.1,6.8,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.2,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,10.9,Female,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,11,Number,"75,170","+/-1,961","7,385",+/-607,"54,270","+/-1,482","5,740",+/-587,355,+/-117,"5,245",+/-542,65,+/-58,"2,110",+/-364,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,12,Percent,3.6,+/-0.1,0.4,+/-0.1,2.6,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,12.8,45 to 49 years,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,12.9,"Total, both sexes",,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,13,Number,"304,710","+/-4,232","23,160","+/-1,183","244,720","+/-4,014","14,690","+/-1,085",775,+/-145,"16,405",+/-913,225,+/-91,"4,735",+/-438,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,14,Percent,14.4,+/-0.2,1.1,+/-0.1,11.6,+/-0.2,0.7,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.2,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,14.9,Male,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,15,Number,"222,245","+/-3,585","17,350",+/-980,"180,070","+/-3,312","8,850",+/-826,585,+/-131,"12,270",+/-833,95,+/-49,"3,025",+/-360,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,16,Percent,10.5,+/-0.2,0.8,+/-0.1,8.5,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,16.9,Female,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,17,Number,"82,465","+/-1,607","5,810",+/-595,"64,650","+/-1,510","5,840",+/-522,190,+/-67,"4,140",+/-453,130,+/-82,"1,705",+/-276,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,18,Percent,3.9,+/-0.1,0.3,+/-0.1,3.1,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,18.8,50 to 54 years,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,18.9,"Total, both sexes",,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,19,Number,"323,285","+/-4,002","21,170","+/-1,052","267,935","+/-3,207","14,435",+/-940,"1,155",+/-193,"14,640",+/-854,400,+/-165,"3,550",+/-394,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,20,Percent,15.3,+/-0.2,1,+/-0.1,12.7,+/-0.1,0.7,+/-0.1,0.1,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.2,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,20.9,Male,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,21,Number,"235,355","+/-3,094","15,150",+/-837,"196,830","+/-2,685","8,880",+/-746,705,+/-149,"10,870",+/-787,310,+/-126,"2,610",+/-336,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,22,Percent,11.2,+/-0.1,0.7,+/-0.1,9.3,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,22.9,Female,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,23,Number,"87,935","+/-2,067","6,020",+/-654,"71,105","+/-1,824","5,555",+/-560,450,+/-112,"3,770",+/-437,90,+/-94,945,+/-205,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,24,Percent,4.2,+/-0.1,0.3,+/-0.1,3.4,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.2,+/-0.1,0,+/-0.1,0,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,24.8,55 to 59 years,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,24.9,"Total, both sexes",,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,25,Number,"288,455","+/-3,280","13,360",+/-795,"249,660","+/-2,871","10,055",+/-769,"1,330",+/-232,"10,745",+/-658,255,+/-135,"3,050",+/-362,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,26,Percent,13.7,+/-0.1,0.6,+/-0.1,11.8,+/-0.1,0.5,+/-0.1,0.1,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,26.9,Male,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,27,Number,"213,660","+/-2,845","9,595",+/-650,"186,670","+/-2,492","6,205",+/-563,785,+/-174,"8,225",+/-565,100,+/-83,"2,080",+/-335,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,28,Percent,10.1,+/-0.1,0.5,+/-0.1,8.8,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,28.9,Female,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,29,Number,"74,795","+/-1,653","3,765",+/-441,"62,990","+/-1,451","3,850",+/-435,545,+/-148,"2,520",+/-306,155,+/-100,970,+/-195,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,30,Percent,3.5,+/-0.1,0.2,+/-0.1,3,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,30.8,60 to 69 years,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,30.9,"Total, both sexes",,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,31,Number,"315,480","+/-3,577","12,665",+/-868,"277,730","+/-3,101","9,315",+/-671,"1,265",+/-217,"11,350",+/-673,85,+/-59,"3,075",+/-393,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,32,Percent,15,+/-0.2,0.6,+/-0.1,13.2,+/-0.1,0.4,+/-0.1,0.1,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,32.9,Male,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,33,Number,"245,960","+/-3,087","9,525",+/-676,"218,905","+/-2,832","5,710",+/-561,880,+/-166,"8,975",+/-600,80,+/-61,"1,890",+/-301,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,34,Percent,11.7,+/-0.1,0.5,+/-0.1,10.4,+/-0.1,0.3,+/-0.1,0,+/-0.1,0.4,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,34.9,Female,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,35,Number,"69,520","+/-1,641","3,140",+/-364,"58,825","+/-1,472","3,605",+/-411,385,+/-116,"2,375",+/-325,4,+/-27,"1,185",+/-254,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,36,Percent,3.3,+/-0.1,0.1,+/-0.1,2.8,+/-0.1,0.2,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,36.8,70 years and over,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,36.9,"Total, both sexes",,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,37,Number,"81,435","+/-1,857","2,580",+/-387,"72,735","+/-1,730","2,440",+/-332,390,+/-121,"2,520",+/-391,40,+/-36,730,+/-175,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,38,Percent,3.9,+/-0.1,0.1,+/-0.1,3.4,+/-0.1,0.1,+/-0.1,0,+/-0.1,0.1,+/-0.1,0,+/-0.1,0,+/-0.1,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,38.9,Male,,,,,,,,,,,,,,,,,10,Top executives
EEOALL10W,C2100US,United States - Place of Work,39,Number,"66,430","+/-1,614","2,095",+/-345,"59,785","+/-1,481","1,665",+/-306,290,+/-92,"2,010",+/-324,40,+/-36,545,+/-164,10,Top executives
